day,mean_per1000,ci2.5_per1000,ci97.5_per1000
1,5.006105006105005,1.9230769230769234,7.692307692307693
2,10.154660154660156,7.264957264957265,14.52991452991453
3,15.364265364265364,11.324786324786324,21.794871794871796
4,20.573870573870572,14.957264957264957,27.564102564102562
5,29.446479446479447,23.076923076923073,39.1025641025641
6,41.18844118844119,32.26495726495727,51.7094017094017
7,57.48880748880748,47.22222222222222,71.36752136752136
8,71.89662189662188,57.69230769230769,89.1025641025641
9,92.55189255189255,75.0,119.44444444444446
10,120.980870980871,96.7948717948718,155.34188034188034
11,162.51526251526252,131.62393162393164,210.25641025641022
12,214.977614977615,173.29059829059827,273.29059829059827
13,275.64102564102564,223.29059829059833,354.9145299145299
14,352.014652014652,284.1880341880342,453.41880341880346
15,453.17460317460325,377.1367521367522,576.9230769230769
16,581.7053317053317,482.05128205128204,722.6495726495726
17,732.8856328856328,615.1709401709402,901.4957264957266
18,892.0634920634918,768.5897435897436,991.4529914529915
19,986.1416361416364,943.1623931623931,991.4529914529915
20,991.4529914529918,991.4529914529915,991.4529914529915
21,991.4529914529918,991.4529914529915,991.4529914529915
22,991.4529914529918,991.4529914529915,991.4529914529915
23,991.4529914529918,991.4529914529915,991.4529914529915
24,991.4529914529918,991.4529914529915,991.4529914529915
25,991.4529914529918,991.4529914529915,991.4529914529915
26,991.4529914529918,991.4529914529915,991.4529914529915
27,991.4529914529918,991.4529914529915,991.4529914529915
28,991.4529914529918,991.4529914529915,991.4529914529915
29,991.4529914529918,991.4529914529915,991.4529914529915
30,991.4529914529918,991.4529914529915,991.4529914529915
31,991.4529914529918,991.4529914529915,991.4529914529915
32,991.4529914529918,991.4529914529915,991.4529914529915
33,991.4529914529918,991.4529914529915,991.4529914529915
34,991.4529914529918,991.4529914529915,991.4529914529915
35,991.4529914529918,991.4529914529915,991.4529914529915
36,991.4529914529918,991.4529914529915,991.4529914529915
37,991.4529914529918,991.4529914529915,991.4529914529915
38,991.4529914529918,991.4529914529915,991.4529914529915
39,991.4529914529918,991.4529914529915,991.4529914529915
40,991.4529914529918,991.4529914529915,991.4529914529915
41,991.4529914529918,991.4529914529915,991.4529914529915
42,991.4529914529918,991.4529914529915,991.4529914529915
43,991.4529914529918,991.4529914529915,991.4529914529915
44,991.4529914529918,991.4529914529915,991.4529914529915
45,991.4529914529918,991.4529914529915,991.4529914529915
46,991.4529914529918,991.4529914529915,991.4529914529915
47,991.4529914529918,991.4529914529915,991.4529914529915
48,991.4529914529918,991.4529914529915,991.4529914529915
49,991.4529914529918,991.4529914529915,991.4529914529915
50,991.4529914529918,991.4529914529915,991.4529914529915
51,991.4529914529918,991.4529914529915,991.4529914529915
52,991.4529914529918,991.4529914529915,991.4529914529915
53,991.4529914529918,991.4529914529915,991.4529914529915
54,991.4529914529918,991.4529914529915,991.4529914529915
55,991.4529914529918,991.4529914529915,991.4529914529915
56,991.4529914529918,991.4529914529915,991.4529914529915
57,991.4529914529918,991.4529914529915,991.4529914529915
58,991.4529914529918,991.4529914529915,991.4529914529915
59,991.4529914529918,991.4529914529915,991.4529914529915
60,991.4529914529918,991.4529914529915,991.4529914529915
61,991.4529914529918,991.4529914529915,991.4529914529915
62,991.4529914529918,991.4529914529915,991.4529914529915
63,991.4529914529918,991.4529914529915,991.4529914529915
64,991.4529914529918,991.4529914529915,991.4529914529915
65,991.4529914529918,991.4529914529915,991.4529914529915
66,991.4529914529918,991.4529914529915,991.4529914529915
67,991.4529914529918,991.4529914529915,991.4529914529915
68,991.4529914529918,991.4529914529915,991.4529914529915
69,991.4529914529918,991.4529914529915,991.4529914529915
70,991.4529914529918,991.4529914529915,991.4529914529915
71,991.4529914529918,991.4529914529915,991.4529914529915
72,991.4529914529918,991.4529914529915,991.4529914529915
73,991.4529914529918,991.4529914529915,991.4529914529915
74,991.4529914529918,991.4529914529915,991.4529914529915
75,991.4529914529918,991.4529914529915,991.4529914529915
76,991.4529914529918,991.4529914529915,991.4529914529915
77,991.4529914529918,991.4529914529915,991.4529914529915
78,991.4529914529918,991.4529914529915,991.4529914529915
79,991.4529914529918,991.4529914529915,991.4529914529915
80,991.4529914529918,991.4529914529915,991.4529914529915
81,991.4529914529918,991.4529914529915,991.4529914529915
82,991.4529914529918,991.4529914529915,991.4529914529915
83,991.4529914529918,991.4529914529915,991.4529914529915
84,991.4529914529918,991.4529914529915,991.4529914529915
85,991.4529914529918,991.4529914529915,991.4529914529915
86,991.4529914529918,991.4529914529915,991.4529914529915
87,991.4529914529918,991.4529914529915,991.4529914529915
88,991.4529914529918,991.4529914529915,991.4529914529915
89,991.4529914529918,991.4529914529915,991.4529914529915
90,991.4529914529918,991.4529914529915,991.4529914529915
91,991.4529914529918,991.4529914529915,991.4529914529915
92,991.4529914529918,991.4529914529915,991.4529914529915
93,991.4529914529918,991.4529914529915,991.4529914529915
94,991.4529914529918,991.4529914529915,991.4529914529915
95,991.4529914529918,991.4529914529915,991.4529914529915
96,991.4529914529918,991.4529914529915,991.4529914529915
97,991.4529914529918,991.4529914529915,991.4529914529915
98,991.4529914529918,991.4529914529915,991.4529914529915
99,991.4529914529918,991.4529914529915,991.4529914529915
100,991.4529914529918,991.4529914529915,991.4529914529915
101,991.4529914529918,991.4529914529915,991.4529914529915
102,991.4529914529918,991.4529914529915,991.4529914529915
103,991.4529914529918,991.4529914529915,991.4529914529915
104,991.4529914529918,991.4529914529915,991.4529914529915
105,991.4529914529918,991.4529914529915,991.4529914529915
106,991.4529914529918,991.4529914529915,991.4529914529915
107,991.4529914529918,991.4529914529915,991.4529914529915
108,991.4529914529918,991.4529914529915,991.4529914529915
109,991.4529914529918,991.4529914529915,991.4529914529915
110,991.4529914529918,991.4529914529915,991.4529914529915
111,991.4529914529918,991.4529914529915,991.4529914529915
112,991.4529914529918,991.4529914529915,991.4529914529915
113,991.4529914529918,991.4529914529915,991.4529914529915
114,991.4529914529918,991.4529914529915,991.4529914529915
115,991.4529914529918,991.4529914529915,991.4529914529915
116,991.4529914529918,991.4529914529915,991.4529914529915
117,991.4529914529918,991.4529914529915,991.4529914529915
118,991.4529914529918,991.4529914529915,991.4529914529915
119,991.4529914529918,991.4529914529915,991.4529914529915
