day,mean_per1000,ci2.5_per1000,ci97.5_per1000
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.02035002035002035,0.0,0.21367521367521367
6,0.0407000407000407,0.0,0.42735042735042733
7,0.06105006105006104,0.0,0.42735042735042733
8,0.06105006105006104,0.0,0.42735042735042733
9,0.06105006105006104,0.0,0.42735042735042733
10,0.12210012210012208,0.0,0.42735042735042733
11,0.18315018315018314,0.0,0.641025641025641
12,0.20350020350020345,0.0,0.641025641025641
13,0.3052503052503052,0.0,0.8547008547008547
14,0.3866503866503867,0.0,0.8547008547008547
15,0.42735042735042744,0.0,1.2820512820512822
16,0.42735042735042744,0.0,1.2820512820512822
17,0.4477004477004478,0.0,1.2820512820512822
18,0.46805046805046807,0.0,1.2820512820512822
19,0.5698005698005699,0.0,1.2820512820512822
20,0.6105006105006107,0.0,1.2820512820512822
21,0.630850630850631,0.0,1.4957264957264957
22,0.6512006512006513,0.0,1.4957264957264957
23,0.7326007326007328,0.0,1.9230769230769234
24,0.8343508343508345,0.21367521367521367,2.136752136752137
25,0.9157509157509158,0.21367521367521367,2.136752136752137
26,0.9564509564509566,0.21367521367521367,2.136752136752137
27,0.9768009768009769,0.21367521367521367,2.136752136752137
28,0.9768009768009769,0.21367521367521367,2.136752136752137
29,0.9971509971509972,0.21367521367521367,2.350427350427351
30,1.0175010175010175,0.21367521367521367,2.350427350427351
31,1.037851037851038,0.21367521367521367,2.5641025641025643
32,1.0582010582010584,0.21367521367521367,2.5641025641025643
33,1.0582010582010584,0.21367521367521367,2.5641025641025643
34,1.0785510785510786,0.21367521367521367,2.5641025641025643
35,1.0785510785510786,0.21367521367521367,2.5641025641025643
36,1.1192511192511194,0.21367521367521367,2.5641025641025643
37,1.1599511599511598,0.21367521367521367,2.7777777777777777
38,1.2210012210012209,0.21367521367521367,2.7777777777777777
39,1.2210012210012209,0.21367521367521367,2.7777777777777777
40,1.241351241351241,0.21367521367521367,2.7777777777777777
41,1.2617012617012615,0.42735042735042733,2.7777777777777777
42,1.3227513227513223,0.42735042735042733,2.7777777777777777
43,1.3838013838013838,0.42735042735042733,2.7777777777777777
44,1.4652014652014653,0.42735042735042733,2.7777777777777777
45,1.4652014652014653,0.42735042735042733,2.7777777777777777
46,1.5466015466015466,0.42735042735042733,2.9914529914529915
47,1.5873015873015874,0.42735042735042733,2.9914529914529915
48,1.6280016280016283,0.42735042735042733,3.2051282051282053
49,1.6890516890516891,0.42735042735042733,3.418803418803419
50,1.7297517297517297,0.42735042735042733,3.418803418803419
51,1.851851851851852,0.42735042735042733,3.418803418803419
52,1.9536019536019538,0.42735042735042733,3.6324786324786325
53,2.055352055352055,0.42735042735042733,3.8461538461538463
54,2.1367521367521367,0.641025641025641,3.8461538461538463
55,2.1774521774521776,0.641025641025641,3.8461538461538463
56,2.2385022385022384,0.641025641025641,3.8461538461538463
57,2.2995522995522997,0.641025641025641,4.0598290598290605
58,2.4216524216524213,0.641025641025641,4.487179487179487
59,2.5030525030525026,0.641025641025641,4.487179487179487
60,2.564102564102564,0.8547008547008547,4.487179487179487
61,2.6455026455026447,0.8547008547008547,4.487179487179487
62,2.6862026862026855,0.8547008547008547,4.487179487179487
63,2.7676027676027672,0.8547008547008547,4.700854700854701
64,2.8490028490028485,0.8547008547008547,4.914529914529915
65,2.9304029304029307,1.0683760683760684,5.128205128205129
66,2.9304029304029307,1.0683760683760684,5.128205128205129
67,3.011803011803012,1.0683760683760684,5.128205128205129
68,3.1135531135531136,1.0683760683760684,5.555555555555555
69,3.154253154253155,1.2820512820512822,5.555555555555555
70,3.1949531949531953,1.2820512820512822,5.555555555555555
71,3.2763532763532766,1.2820512820512822,5.555555555555555
72,3.357753357753358,1.2820512820512822,5.555555555555555
73,3.398453398453399,1.2820512820512822,5.555555555555555
74,3.4391534391534386,1.4957264957264957,5.555555555555555
75,3.5409035409035403,1.4957264957264957,5.982905982905983
76,3.663003663003663,1.7094017094017093,5.982905982905983
77,3.785103785103785,1.7094017094017093,6.196581196581196
78,3.9275539275539266,1.7094017094017093,6.41025641025641
79,4.070004070004069,1.7094017094017093,6.837606837606837
80,4.09035409035409,1.7094017094017093,6.837606837606837
81,4.171754171754171,1.7094017094017093,7.051282051282051
82,4.293854293854293,1.7094017094017093,7.264957264957265
83,4.415954415954415,1.9230769230769234,7.478632478632479
84,4.538054538054538,1.9230769230769234,7.6923076923076925
85,4.619454619454619,2.136752136752137,7.6923076923076925
86,4.741554741554742,2.350427350427351,8.119658119658121
87,4.802604802604804,2.350427350427351,8.119658119658121
88,4.884004884004884,2.5641025641025643,8.119658119658121
89,5.026455026455026,2.5641025641025643,8.119658119658121
90,5.128205128205129,2.5641025641025643,8.119658119658121
91,5.250305250305251,2.5641025641025643,8.119658119658121
92,5.291005291005292,2.5641025641025643,8.119658119658121
