day,mean_per1000,ci2.5_per1000,ci97.5_per1000
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.02035002035002035,0.0,0.21367521367521367
8,0.0407000407000407,0.0,0.42735042735042733
9,0.0407000407000407,0.0,0.42735042735042733
10,0.0407000407000407,0.0,0.42735042735042733
11,0.0407000407000407,0.0,0.42735042735042733
12,0.0407000407000407,0.0,0.42735042735042733
13,0.0407000407000407,0.0,0.42735042735042733
14,0.0407000407000407,0.0,0.42735042735042733
15,0.0407000407000407,0.0,0.42735042735042733
16,0.06105006105006104,0.0,0.42735042735042733
17,0.10175010175010175,0.0,0.42735042735042733
18,0.10175010175010175,0.0,0.42735042735042733
19,0.12210012210012208,0.0,0.42735042735042733
20,0.12210012210012208,0.0,0.42735042735042733
21,0.1831501831501831,0.0,0.42735042735042733
22,0.24420024420024417,0.0,0.8547008547008547
23,0.3052503052503053,0.0,1.0683760683760684
24,0.3052503052503053,0.0,1.0683760683760684
25,0.3052503052503053,0.0,1.0683760683760684
26,0.34595034595034596,0.0,1.2820512820512822
27,0.42735042735042733,0.0,1.2820512820512822
28,0.5291005291005291,0.0,1.7094017094017093
29,0.5494505494505495,0.0,1.9230769230769234
30,0.5494505494505495,0.0,1.9230769230769234
31,0.5698005698005699,0.0,1.9230769230769234
32,0.630850630850631,0.0,2.136752136752137
33,0.6715506715506717,0.0,2.136752136752137
34,0.7326007326007327,0.0,2.350427350427351
35,0.7326007326007327,0.0,2.350427350427351
36,0.7529507529507532,0.0,2.350427350427351
37,0.7733007733007736,0.0,2.350427350427351
38,0.8547008547008549,0.0,2.350427350427351
39,0.8954008954008954,0.0,2.5641025641025643
40,0.9971509971509973,0.0,2.5641025641025643
41,1.0175010175010175,0.0,2.5641025641025643
42,1.0582010582010584,0.0,2.7777777777777777
43,1.098901098901099,0.0,2.9914529914529915
44,1.1396011396011396,0.0,2.9914529914529915
45,1.1396011396011396,0.0,2.9914529914529915
46,1.2006512006512007,0.21367521367521367,2.9914529914529915
47,1.2617012617012615,0.42735042735042733,2.9914529914529915
48,1.2617012617012615,0.42735042735042733,2.9914529914529915
49,1.3227513227513228,0.42735042735042733,2.9914529914529915
50,1.3634513634513634,0.42735042735042733,2.9914529914529915
51,1.444851444851445,0.42735042735042733,3.2051282051282053
52,1.5262515262515262,0.42735042735042733,3.632478632478633
53,1.5873015873015874,0.42735042735042733,3.632478632478633
54,1.628001628001628,0.42735042735042733,3.632478632478633
55,1.6890516890516891,0.42735042735042733,3.632478632478633
56,1.7704517704517706,0.42735042735042733,3.632478632478633
57,1.8315018315018317,0.42735042735042733,3.8461538461538467
58,1.8925518925518918,0.42735042735042733,3.8461538461538467
59,1.953601953601953,0.641025641025641,4.05982905982906
60,2.035002035002035,0.8547008547008547,4.273504273504273
61,2.1164021164021163,0.8547008547008547,4.273504273504273
62,2.177452177452177,0.8547008547008547,4.273504273504273
63,2.319902319902319,0.8547008547008547,4.487179487179487
64,2.3402523402523396,0.8547008547008547,4.487179487179487
65,2.401302401302401,0.8547008547008547,4.914529914529915
66,2.462352462352462,1.0683760683760684,4.914529914529915
67,2.6048026048026043,1.0683760683760684,5.128205128205128
68,2.665852665852665,1.0683760683760684,5.128205128205128
69,2.8083028083028085,1.0683760683760684,5.341880341880342
70,2.93040293040293,1.282051282051282,5.555555555555555
71,2.9711029711029715,1.282051282051282,5.555555555555555
72,3.0321530321530323,1.282051282051282,5.555555555555555
73,3.0525030525030523,1.282051282051282,5.555555555555555
74,3.154253154253154,1.282051282051282,5.555555555555555
75,3.2153032153032153,1.282051282051282,5.982905982905983
76,3.2763532763532766,1.495726495726496,5.982905982905983
77,3.337403337403338,1.495726495726496,5.982905982905983
78,3.418803418803418,1.495726495726496,5.982905982905983
79,3.5205535205535208,1.495726495726496,6.196581196581196
80,3.5612535612535616,1.495726495726496,6.410256410256411
81,3.663003663003663,1.495726495726496,6.6239316239316235
82,3.764753764753764,1.495726495726496,6.837606837606837
83,3.805453805453805,1.495726495726496,7.051282051282051
84,3.9275539275539275,1.9230769230769234,7.264957264957266
85,4.008954008954009,1.9230769230769234,7.264957264957266
86,4.07000407000407,1.9230769230769234,7.264957264957266
87,4.11070411070411,1.9230769230769234,7.478632478632479
88,4.171754171754172,1.9230769230769234,7.478632478632479
89,4.2328042328042335,1.9230769230769234,7.478632478632479
90,4.314204314204314,1.9230769230769234,7.692307692307693
91,4.415954415954416,1.9230769230769234,7.905982905982906
92,4.415954415954416,1.9230769230769234,7.905982905982906
93,4.497354497354498,1.9230769230769234,7.905982905982906
94,4.660154660154659,1.9230769230769234,8.333333333333334
95,4.741554741554741,1.9230769230769234,8.333333333333334
96,4.78225478225478,1.9230769230769234,8.547008547008547
97,4.924704924704924,2.136752136752137,8.547008547008547
98,5.026455026455027,2.5641025641025643,8.760683760683762
99,5.20960520960521,2.5641025641025643,8.974358974358974
100,5.311355311355312,2.5641025641025643,9.188034188034187
101,5.4741554741554745,2.5641025641025643,9.401709401709402
102,5.535205535205536,2.7777777777777777,9.615384615384617
103,5.677655677655677,2.7777777777777777,10.042735042735043
104,5.86080586080586,2.7777777777777777,10.256410256410255
105,5.921855921855922,2.7777777777777777,10.256410256410255
106,6.003256003256003,2.7777777777777777,10.47008547008547
107,6.1253561253561255,2.7777777777777777,10.897435897435898
108,6.186406186406187,2.7777777777777777,10.897435897435898
109,6.267806267806269,2.7777777777777777,11.11111111111111
