day,mean_count,ci2.5_count,ci97.5_count
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.047619047619047616,0.0,0.5
6,0.047619047619047616,0.0,0.5
7,0.047619047619047616,0.0,0.5
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.14285714285714285,0.0,1.0
11,0.14285714285714285,0.0,1.0
12,0.047619047619047616,0.0,0.5
13,0.23809523809523808,0.0,1.5
14,0.19047619047619047,0.0,1.0
15,0.09523809523809523,0.0,1.0
16,0.0,0.0,0.0
17,0.047619047619047616,0.0,0.5
18,0.047619047619047616,0.0,0.5
19,0.23809523809523808,0.0,1.0
20,0.09523809523809523,0.0,1.0
21,0.047619047619047616,0.0,0.5
22,0.047619047619047616,0.0,0.5
23,0.19047619047619047,0.0,1.5
24,0.23809523809523808,0.0,1.0
25,0.19047619047619047,0.0,1.0
26,0.09523809523809523,0.0,1.0
27,0.047619047619047616,0.0,0.5
28,0.0,0.0,0.0
29,0.047619047619047616,0.0,0.5
30,0.047619047619047616,0.0,0.5
31,0.047619047619047616,0.0,0.5
32,0.047619047619047616,0.0,0.5
33,0.0,0.0,0.0
34,0.047619047619047616,0.0,0.5
35,0.0,0.0,0.0
36,0.09523809523809523,0.0,1.0
37,0.09523809523809523,0.0,1.0
38,0.14285714285714285,0.0,1.0
39,0.0,0.0,0.0
40,0.047619047619047616,0.0,0.5
41,0.047619047619047616,0.0,0.5
42,0.14285714285714285,0.0,1.0
43,0.14285714285714285,0.0,1.0
44,0.19047619047619047,0.0,1.5
45,0.0,0.0,0.0
46,0.19047619047619047,0.0,1.0
47,0.09523809523809523,0.0,1.0
48,0.09523809523809523,0.0,1.0
49,0.14285714285714285,0.0,1.0
50,0.09523809523809523,0.0,1.0
51,0.2857142857142857,0.0,1.0
52,0.23809523809523808,0.0,1.0
53,0.23809523809523808,0.0,1.5
54,0.19047619047619047,0.0,1.0
55,0.09523809523809523,0.0,1.0
56,0.14285714285714285,0.0,1.0
57,0.14285714285714285,0.0,1.0
58,0.2857142857142857,0.0,2.0
59,0.19047619047619047,0.0,1.5
60,0.14285714285714285,0.0,1.0
61,0.19047619047619047,0.0,1.0
62,0.09523809523809523,0.0,1.0
63,0.19047619047619047,0.0,1.0
64,0.19047619047619047,0.0,1.5
65,0.19047619047619047,0.0,1.0
66,0.0,0.0,0.0
67,0.19047619047619047,0.0,1.0
68,0.23809523809523808,0.0,1.5
69,0.09523809523809523,0.0,1.0
70,0.09523809523809523,0.0,1.0
71,0.19047619047619047,0.0,1.5
72,0.19047619047619047,0.0,1.0
73,0.09523809523809523,0.0,1.0
74,0.09523809523809523,0.0,1.0
75,0.23809523809523808,0.0,1.0
76,0.2857142857142857,0.0,1.0
77,0.2857142857142857,0.0,2.0
78,0.3333333333333333,0.0,1.0
79,0.3333333333333333,0.0,1.0
80,0.047619047619047616,0.0,0.5
81,0.19047619047619047,0.0,1.0
82,0.2857142857142857,0.0,1.0
83,0.2857142857142857,0.0,1.5
84,0.2857142857142857,0.0,1.5
85,0.19047619047619047,0.0,1.0
86,0.2857142857142857,0.0,1.0
87,0.14285714285714285,0.0,1.0
88,0.19047619047619047,0.0,1.0
89,0.3333333333333333,0.0,2.0
90,0.23809523809523808,0.0,1.0
91,0.2857142857142857,0.0,1.0
92,0.09523809523809523,0.0,1.0
93,0.2857142857142857,0.0,1.5
94,0.38095238095238093,0.0,1.5
95,0.2857142857142857,0.0,2.0
96,0.23809523809523808,0.0,1.0
97,0.3333333333333333,0.0,1.0
98,0.23809523809523808,0.0,1.5
99,0.2857142857142857,0.0,1.0
100,0.19047619047619047,0.0,1.0
101,0.14285714285714285,0.0,1.0
102,0.2857142857142857,0.0,1.0
103,0.0,0.0,0.0
104,0.5238095238095238,0.0,2.0
105,0.38095238095238093,0.0,1.0
106,0.2857142857142857,0.0,2.0
107,0.19047619047619047,0.0,1.5
108,0.47619047619047616,0.0,2.0
109,0.23809523809523808,0.0,1.0
110,0.5714285714285714,0.0,2.0
111,0.47619047619047616,0.0,2.0
112,0.3333333333333333,0.0,1.5
113,0.3333333333333333,0.0,1.5
114,0.19047619047619047,0.0,1.0
115,0.2857142857142857,0.0,1.0
116,0.42857142857142855,0.0,2.0
117,0.23809523809523808,0.0,1.0
118,0.6190476190476191,0.0,2.5
119,0.09523809523809523,0.0,1.0
120,0.23809523809523808,0.0,1.5
121,0.38095238095238093,0.0,3.0
122,0.42857142857142855,0.0,1.5
123,0.19047619047619047,0.0,1.0
124,0.38095238095238093,0.0,1.0
125,0.38095238095238093,0.0,2.0
126,0.3333333333333333,0.0,1.5
127,0.5714285714285714,0.0,2.5
128,0.42857142857142855,0.0,1.0
129,0.2857142857142857,0.0,2.0
130,0.23809523809523808,0.0,1.5
131,0.38095238095238093,0.0,1.0
132,0.38095238095238093,0.0,2.5
